Geo Point,Geo Shape,codeunique,nom_long,nom_so_gar,nom_su_gar,id_ref_ZdC,nom_ZdC,id_ref_ZdA,nom_ZdA,idrefliga,idrefligc,res_com,mode_,train,rer,metro,tramway,val,tertrain,terrer,termetro,tertram,terval,exploitant,idf,principal,x,y
"48.85364805177902, 2.2794870718385125","{""coordinates"": [2.279487071838513, 48.85364805177902], ""type"": ""Point""}",335,Avenue du Président Kennedy,Maison de Radio France,,71212,Avenue du Président Kennedy Maison de Radio France,45419,Avenue du Président Kennedy Maison de Radio France,A01840,C01727,RER C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,647131.0084,6861753.2572
"49.26394414357276, 2.4689141153510383","{""coordinates"": [2.468914115351038, 49.26394414357276], ""type"": ""Point""}",502,Creil,,,411441,Creil,411440,Creil,A01849 / A01842,C01737 / C01728,TRAIN H / RER D,TRAIN,1,0,0,0,0,1,1,0,0,0,SNCF,0,0,661337.2338,6907273.6537
"49.20087707816823, 2.838108478036551","{""coordinates"": [2.838108478036551, 49.20087707816823], ""type"": ""Point""}",512,Ormoy-Villers,,,411388,Ormoy-Villers,411387,Ormoy-Villers,A02175,C01738,TRAIN K,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,688199.9209,6900140.4555
"49.14288419739151, 2.7944545501073197","{""coordinates"": [2.79445455010732, 49.14288419739151], ""type"": ""Point""}",513,Nanteuil-le-Haudouin,,,411391,Nanteuil-le-Haudouin,411390,Nanteuil-le-Haudouin,A02175,C01738,TRAIN K,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,685001.2538,6893697.4278
"48.78739023826699, 2.0446219898787095","{""coordinates"": [2.044621989878709, 48.78739023826699], ""type"": ""Point""}",80,Saint-Quentin-en-Yvelines,,,63812,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,461504,Saint-Quentin en Yvelines - Montigny-le-Bretonneux,A01847 / A01855 / A01840,C01736 / C01741 / C01727,TRAIN N / TRAIN U / RER C,TRAIN / RER,1,1,0,0,0,0,1,0,0,0,SNCF,1,1,629808.9429,6854569.3772
"48.87414408296998, 2.583331155321318","{""coordinates"": [2.583331155321318, 48.87414408296998], ""type"": ""Point""}",1,Chelles - Gournay,,,68407,Chelles - Gournay,58879,Chelles - Gournay,A01844 / A01843,C01730 / C01729,TRAIN P / RER E,TRAIN / RER,1,1,0,0,0,0,1,0,0,0,SNCF,1,1,669437.8834,6863871.754
"48.92037937388939, 2.1853533762887847","{""coordinates"": [2.185353376288785, 48.92037937388939], ""type"": ""Point""}",141,Houilles-Carrières-sur-Seine,,,64741,Houilles - Carrières-sur-Seine,43082,Carrières-sur-Seine,A01852 / A02176 / A01856,C01739 / C01740 / C01742,TRAIN J / TRAIN L / RER A,TRAIN / RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,640300.5563,6869240.4012
"48.980646099492056, 2.2720847727476317","{""coordinates"": [2.272084772747632, 48.980646099492056], ""type"": ""Point""}",223,Ermont - Eaubonne,,,65669,Ermont - Eaubonne,47898,Ermont - Eaubonne,A01849 / A01852 / A01840,C01737 / C01739 / C01727,TRAIN H / TRAIN J / RER C,TRAIN / RER,1,1,0,0,0,1,0,0,0,0,SNCF,1,1,646718.0509,6875879.9697
"49.03646397890304, 2.0795349413808526","{""coordinates"": [2.079534941380853, 49.03646397890304], ""type"": ""Point""}",248,Cergy-Préfecture,,,66696,Cergy Préfecture,44559,Cergy Préfecture,A02176 / A01856,C01740 / C01742,TRAIN L / RER A,TRAIN / RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,632696.7169,6882234.202
"49.04531164746758, 2.1051107102832805","{""coordinates"": [2.10511071028328, 49.04531164746758], ""type"": ""Point""}",250,Saint-Ouen-l'Aumône,,,66803,Saint-Ouen-l'Aumône,47599,Saint-Ouen-l'Aumône,A01849 / A01840,C01737 / C01727,TRAIN H / RER C,TRAIN / RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,634577.8561,6883196.6275
"48.93073956937682, 2.425791424195139","{""coordinates"": [2.425791424195139, 48.93073956937682], ""type"": ""Point""}",402,Le Bourget,,,72641,Le Bourget,43231,Le Bourget,A01857 / A02225,C01743 / C01999,RER B / TRAM 11,RER / TRAMWAY,0,1,0,1,0,0,0,0,1,0,SNCF,1,0,657928.4899,6870237.4878
"48.839081279307386, 2.3830280811464517","{""coordinates"": [2.383028081146452, 48.839081279307386], ""type"": ""Point""}",468,Paris-Bercy,,,71607,Gare de Bercy,479035,Paris-Bercy Bourgogne - Pays d'Auvergne,A01845 / A02171,C01731 / C01745,TRAIN R / TER,TRAIN,1,0,0,0,0,1,0,0,0,0,SNCF,1,0,654715.7015,6860069.2247
"48.86251523404101, 2.3457858600391797","{""coordinates"": [2.34578586003918, 48.86251523404101], ""type"": ""Point""}",104051,Les Halles,,,474151,Les Halles,45102,Châtelet les Halles,A01537,C01374,METRO 4,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,652003.8587,6862696.8633
"48.863556144297895, 2.882591319934515","{""coordinates"": [2.882591319934515, 48.863556144297895], ""type"": ""Point""}",24,Villiers-Montbarbin,,,68311,Villiers Montbarbin,58581,Villiers Montbarbin,A01844,C01730,TRAIN P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,691386.439,6862620.1835
"48.950651092156185, 2.23253400870597","{""coordinates"": [2.23253400870597, 48.950651092156185], ""type"": ""Point""}",220,Val d'Argenteuil,,,65110,Val d'Argenteuil,43212,Val d'Argenteuil,A01852,C01739,TRAIN J,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,643790.6826,6872571.911
"48.26775810540564, 2.6856470926565525","{""coordinates"": [2.685647092656553, 48.26775810540564], ""type"": ""Point""}",69,Nemours-Saint-Pierre,,,61218,Nemours - Saint-Pierre,43245,Nemours - Saint-Pierre,A01845,C01731,TRAIN R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,676674.2128,6796426.5975
"48.80547779084043, 2.167669031960396","{""coordinates"": [2.167669031960396, 48.80547779084043], ""type"": ""Point""}",149,Viroflay Rive Droite,,,422420,Viroflay Rive Droite,46689,Viroflay Rive Droite,A02176 / A02149,C01740 / C01794,TRAIN L / TRAM 6,TRAIN / TRAMWAY,1,0,0,1,0,0,0,0,1,0,SNCF,1,0,638869.9754,6856478.0681
"48.708237829433074, 2.462282241953267","{""coordinates"": [2.462282241953267, 48.708237829433074], ""type"": ""Point""}",177,Montgeron-Crosne,,,63072,Montgeron - Crosne,47684,Montgeron - Crosne,A01842,C01728,RER D,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,660433.6068,6845478.958
"48.83653643200732, 2.708981740900003","{""coordinates"": [2.708981740900003, 48.83653643200732], ""type"": ""Point""}",441,Bussy-Saint-Georges,,,68105,Bussy-Saint-Georges,58874,Bussy-Saint-Georges,A01856,C01742,RER A,RER,0,1,0,0,0,0,0,0,0,0,RATP,1,0,678638.7273,6859648.704
"49.20347844127161, 2.3772985520921446","{""coordinates"": [2.377298552092145, 49.20347844127161], ""type"": ""Point""}",504,Précy-Sur-Oise,,,411327,Précy-sur-Oise,411326,Précy-sur-Oise,A01849,C01737,TRAIN H,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,654614.7579,6900596.6691
"48.84413934892562, 2.3732599780731842","{""coordinates"": [2.373259978073184, 48.84413934892562], ""type"": ""Point""}",338,Gare de Lyon,,,73626,Gare de Lyon,470195,Gare de Lyon,A01845 / A01856 / A01842 / A01534 / A01547,C01731 / C01742 / C01728 / C01371 / C01384,TRAIN R / RER A / RER D / METRO 1 / METRO 14,TRAIN / RER / METRO,0,1,1,0,0,1,0,0,0,0,RATP/SNCF,1,1,654003.2245,6860637.2778
"48.820267611337876, 2.3389751795781963","{""coordinates"": [2.338975179578196, 48.820267611337876], ""type"": ""Point""}",306,Cité Universitaire,,,70623,Cité universitaire,473843,Cité Universitaire,A01857 / A01193,C01743 / C01391,RER B / TRAM 3a,RER / TRAMWAY,0,1,0,1,0,0,0,0,0,0,RATP,1,0,651464.8822,6858003.5283
"48.828880699842834, 2.377697000269359","{""coordinates"": [2.377697000269359, 48.828880699842834], ""type"": ""Point""}",383,Bibliothèque François Mitterrand,,,71572,Bibliothèque François Mitterrand Emile Durkheim,45301,Bibliothèque François Mitterrand,A01840 / A01547,C01727 / C01384,RER C / METRO 14,RER / METRO,0,1,1,0,0,0,0,0,0,0,RATP/SNCF,1,0,654315.4819,6858938.0999
"48.754946524588206, 2.300986854374749","{""coordinates"": [2.300986854374749, 48.754946524588206], ""type"": ""Point""}",301,Antony,Orly,,69759,Antony,43066,Antony,A01857 / A01551,C01743 / C01388,RER B / ORLYVAL,RER / VAL,0,1,0,0,1,0,0,0,0,1,RATP,1,1,648611.4024,6850764.9
"48.47552306875221, 2.692033263941141","{""coordinates"": [2.692033263941141, 48.47552306875221], ""type"": ""Point""}",58,Bois-le-Roi,,,61727,Bois-le-Roi,47654,Bois-le-Roi,A01845,C01731,TRAIN R,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,677238.1477,6819517.7672
"48.85425170165895, 2.1321324452660804","{""coordinates"": [2.13213244526608, 48.85425170165895], ""type"": ""Point""}",145,Bougival,,,64301,Bougival,47790,Bougival,A02176,C01740,TRAIN L,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,636319.7216,6861929.1249
"48.68619126622109, 2.317299785060706","{""coordinates"": [2.317299785060706, 48.68619126622109], ""type"": ""Point""}",162,Gravigny-Balizy,,,62667,Gravigny Balizy,47934,Gravigny Balizy,A01840,C01727,RER C,RER,0,1,0,0,0,0,0,0,0,0,SNCF,1,0,649744.5412,6843110.3649
"48.90576265617279, 2.2699647791945132","{""coordinates"": [2.269964779194513, 48.90576265617279], ""type"": ""Point""}",393,Bécon-les-Bruyères,,,72124,Bécon les Bruyères,47923,Bécon les Bruyères,A02176,C01740,TRAIN L,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,1,0,646485.8881,6867554.4327
"48.275078231754726, 1.6221196174276982","{""coordinates"": [1.622119617427698, 48.275078231754726], ""type"": ""Point""}",483,Voves,,,411450,Voves,411449,Voves,A02179,C01857,TER,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,597776.8772,6798085.6536
"48.96876079265082, 3.3227975625701633","{""coordinates"": [3.322797562570163, 48.96876079265082], ""type"": ""Point""}",519,Nogent-l'Artaud-Charly,,,411385,Nogent-L'Artaud - Charly,411384,Nogent-L'Artaud - Charly,A01844,C01730,TRAIN P,TRAIN,1,0,0,0,0,0,0,0,0,0,SNCF,0,0,723633.8126,6874360.9553
"48.89660443648831, 2.4611193107780474","{""coordinates"": [2.461119310778047, 48.89660443648831], ""type"": ""Point""}",360,Noisy-le-Sec,,,72041,Noisy-le-Sec,44201,Noisy-le-Sec,A01843 / A01191,C01729 / C01389,RER E / TRAM 1,RER / TRAMWAY,0,1,0,1,0,0,0,0,1,0,RATP/SNCF,1,0,660490.9717,6866423.4787
"49.014133688544916, 2.0783065913302115","{""coordinates"": [2.078306591330211, 49.014133688544916], ""type"": ""Point""}",444,Neuville Université,,,66436,Neuville Université,47879,Neuville Université,A02176 / A01856,C01740 / C01742,TRAIN L / RER A,TRAIN / RER,1,1,0,0,0,0,0,0,0,0,SNCF,1,0,632577.9185,6879752.0134
"48.87380673292813, 2.3269998588808716","{""coordinates"": [2.326999858880872, 48.87380673292813], ""type"": ""Point""}",103061,Havre-Caumartin,,,73688,Gare Saint-Lazare,58718,Haussmann Saint-Lazare,A01536 / A01542,C01373 / C01379,METRO 3 / METRO 9,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,650636.3658,6863963.9719
"48.84735451596501, 2.386808445777995","{""coordinates"": [2.386808445777995, 48.84735451596501], ""type"": ""Point""}",101043,Reuilly-Diderot,,,71654,Reuilly Diderot,44637,Reuilly Diderot,A01534 / A01541,C01371 / C01378,METRO 1 / METRO 8,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,655000.3096,6860986.9672
"48.85755155236203, 2.3512922093345723","{""coordinates"": [2.351292209334572, 48.85755155236203], ""type"": ""Point""}",101051,Hôtel de Ville,,,415852,Hôtel de Ville de Paris - 4ème Arrondissement,470524,Hôtel de Ville,A01534 / A01544,C01371 / C01381,METRO 1 / METRO 11,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,652403.2862,6862141.6107
"48.86080629033762, 2.341108591634066","{""coordinates"": [2.341108591634066, 48.86080629033762], ""type"": ""Point""}",101055,Louvre-Rivoli,,,73630,Louvre Rivoli,44645,Louvre Rivoli,A01534,C01371,METRO 1,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,651659.1352,6862509.6962
"48.86525378511986, 2.3745819699964117","{""coordinates"": [2.374581969996412, 48.86525378511986], ""type"": ""Point""}",103043,Parmentier,,,71801,Parmentier,58725,Parmentier,A01536,C01373,METRO 3,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,654118.8397,6862984.2509
"48.87877036755244, 2.3222652131188943","{""coordinates"": [2.322265213118894, 48.87877036755244], ""type"": ""Point""}",103065,Europe,,,73617,Europe,42972,Europe,A01536,C01373,METRO 3,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,650293.8318,6864518.8631
"48.84221841267896, 2.329008926235402","{""coordinates"": [2.329008926235402, 48.84221841267896], ""type"": ""Point""}",104069,Vavin,,,71117,Vavin,44997,Vavin,A01537,C01374,METRO 4,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,650753.8774,6860450.3764
"48.870396388290395, 2.3614002104327767","{""coordinates"": [2.361400210432777, 48.870396388290395], ""type"": ""Point""}",105061,Jacques Bonsergent,,,71322,Jacques Bonsergent,43417,Jacques Bonsergent,A01538,C01375,METRO 5,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,653156.4609,6863563.8098
"48.84794309626632, 2.2641304267383098","{""coordinates"": [2.26413042673831, 48.84794309626632], ""type"": ""Point""}",110031,Michel Ange-Auteuil,,,71206,Michel-Ange - Auteuil,44138,Michel-Ange - Auteuil,A01542 / A01543,C01379 / C01380,METRO 9 / METRO 10,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,645998.3063,6861129.317
"48.84699703040198, 2.295019130476361","{""coordinates"": [2.295019130476361, 48.84699703040198], ""type"": ""Point""}",110045,Avenue Émile Zola,,,71158,Avenue Émile Zola,42265,Avenue Émile Zola,A01543,C01380,METRO 10,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,648264.0691,6861003.4431
"48.85137882881257, 2.3269352447531615","{""coordinates"": [2.326935244753161, 48.85137882881257], ""type"": ""Point""}",110055,Sèvres-Babylone,,,71203,Sèvres Babylone,44828,Sèvres Babylone,A01543 / A01545,C01380 / C01382,METRO 10 / METRO 12,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,650610.3693,6861470.2183
"48.85008987711798, 2.3482087741854683","{""coordinates"": [2.348208774185468, 48.85008987711798], ""type"": ""Point""}",110061,Maubert-Mutualité,,,71190,Maubert Mutualité,44119,Maubert Mutualité,A01543,C01380,METRO 10,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,652170.2062,6861313.803
"48.875474456657706, 2.398867599341846","{""coordinates"": [2.398867599341846, 48.875474456657706], ""type"": ""Point""}",111037,Télégraphe,,,71870,Télégraphe,44923,Télégraphe,A01544,C01381,METRO 11,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,655909.0695,6864106.8826
"48.90323367785232, 2.306010915009082","{""coordinates"": [2.306010915009082, 48.90323367785232], ""type"": ""Point""}",113073,Mairie de Clichy,,,72118,Mairie de Clichy,44012,Mairie de Clichy,A01546,C01383,METRO 13,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,649125.6534,6867249.3956
"48.815307531164876, 2.297077796960861","{""coordinates"": [2.297077796960861, 48.815307531164876], ""type"": ""Point""}",114035,Malakoff - Rue Étienne Dolet,,,70562,Malakoff - Étienne Dolet,44069,Malakoff Rue Étienne Dolet,A01546,C01383,METRO 13,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,648383.7761,6857478.6019
"48.856871378314686, 2.3150566373170878","{""coordinates"": [2.315056637317088, 48.856871378314686], ""type"": ""Point""}",114053,Varenne,,,71232,Varenne,45131,Varenne,A01546,C01383,METRO 13,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,649744.034,6862088.4335
"48.89737479459521, 2.3289428127798923","{""coordinates"": [2.328942812779892, 48.89737479459521], ""type"": ""Point""}",114071,Porte de Saint-Ouen,,,72078,Porte de Saint-Ouen,44525,Porte de Saint-Ouen,A01546 / A01757,C01383 / C01679,METRO 13 / TRAM 3b,METRO / TRAMWAY,0,0,1,1,0,0,0,0,0,0,RATP,1,0,650801.1471,6866583.3841
"48.919007554283056, 2.342608014423155","{""coordinates"": [2.342608014423155, 48.919007554283056], ""type"": ""Point""}",114077,Carrefour Pleyel,,,72217,Carrefour Pleyel,42447,Carrefour Pleyel,A01546,C01383,METRO 13,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,651823.021,6868980.4409
"48.87851411309647, 2.381614513292405","{""coordinates"": [2.381614513292405, 48.87851411309647], ""type"": ""Point""}",117035,Buttes-Chaumont,,,71900,Buttes Chaumont,45609,Buttes Chaumont,A01550,C01387,METRO 7bis,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,654646.2893,6864454.6451
"48.82979051275094, 2.3504148706484034","{""coordinates"": [2.350414870648403, 48.82979051275094], ""type"": ""Point""}",106051,Corvisart,,,71013,Corvisart,45274,Corvisart,A01539,C01376,METRO 6,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,652313.5222,6859055.391
"48.85043454986139, 2.2936124344381383","{""coordinates"": [2.293612434438138, 48.85043454986139], ""type"": ""Point""}",106073,Dupleix,,,71197,Dupleix,42871,Dupleix,A01539,C01376,METRO 6,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,648164.259,6861386.5827
"48.85394260527926, 2.289334532778806","{""coordinates"": [2.289334532778806, 48.85394260527926], ""type"": ""Point""}",106075,Bir-Hakeim,Tour Eiffel,,473829,Bir-Hakeim,45340,Bir-Hakeim,A01539,C01376,METRO 6,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,647853.8595,6861779.4604
"48.857448690040606, 2.28581244413408","{""coordinates"": [2.28581244413408, 48.857448690040606], ""type"": ""Point""}",106077,Passy,,,71237,Passy,45417,Passy,A01539,C01376,METRO 6,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,647598.9541,6862171.635
"48.83593030194427, 2.3525422662627014","{""coordinates"": [2.352542266262701, 48.83593030194427], ""type"": ""Point""}",107075,Les Gobelins,,,71076,Les Gobelins,43737,Les Gobelins,A01540,C01377,METRO 7,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,652475.29,6859736.7848
"48.810129956339246, 2.3622633871273484","{""coordinates"": [2.362263387127348, 48.810129956339246], ""type"": ""Point""}",107095,Le Kremlin-Bicêtre,,,70452,Le Kremlin - Bicêtre,43643,Le Kremlin - Bicêtre,A01540,C01377,METRO 7,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,653165.655,6856862.2879
"48.85772541195898, 2.3105659609468447","{""coordinates"": [2.310565960946845, 48.85772541195898], ""type"": ""Point""}",108033,La Tour Maubourg,,,71242,La Tour Maubourg,43409,La Tour Maubourg,A01541,C01378,METRO 8,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,649415.3796,6862186.2617
"48.837117006060936, 2.4023331659174434","{""coordinates"": [2.402333165917443, 48.837117006060936], ""type"": ""Point""}",108071,Michel Bizot,,,71595,Michel Bizot,44140,Michel Bizot,A01541,C01378,METRO 8,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,656130.969,6859839.9191
"48.85250408967838, 2.2681767494359604","{""coordinates"": [2.26817674943596, 48.85250408967838], ""type"": ""Point""}",109035,Jasmin,,,73657,Jasmin,43423,Jasmin,A01542,C01379,METRO 9,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,0,646299.9369,6861633.6924
"48.90656714504601, 2.365920319400959","{""coordinates"": [2.365920319400959, 48.90656714504601], ""type"": ""Point""}",117040,Front Populaire,,Aubervilliers,74041,Front Populaire,58497,Front Populaire,A01545,C01382,METRO 12,METRO,0,0,1,0,0,0,0,0,0,0,RATP,1,1,653520.3175,6867583.1321
